Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff,Stride Length UT (ft),Stride Length GO (ft),Rank Time UT,Rank Time GO,Rank Stride Length UT (ft),Rank Stride Length GO (ft),Rank diff,Mean Rank,Rating
1,205.0,205.0,10.3,11.8,2.42,2.37,6.79,6.25,-0.54,22.28,20.51,6.0,6.0,6.0,6.0,6.0,6.0,10.0
2,205.0,205.0,10.0,11.0,2.3,2.37,6.86,6.69,-0.17,22.51,21.95,1.0,5.0,5.0,5.0,5.0,4.2,48.6
3,,,,,,,,,,,,,,,,,,
4,205.0,205.0,10.0,10.3,2.34,2.25,7.27,7.44,0.17,23.85,24.41,1.0,2.0,1.0,1.0,4.0,1.8,100.0
5,,,,,,,,,,,,,,,,,,
6,205.0,205.0,10.0,10.2,2.33,2.29,7.19,7.4,0.2,23.59,24.28,1.0,1.0,3.0,3.0,2.0,2.0,95.7
7,205.0,205.0,10.1,10.9,2.28,2.1,7.24,7.42,0.18,23.75,24.34,5.0,4.0,2.0,2.0,3.0,3.2,70.0
8,,,,,,,,,,,,,,,,,,
9,404.32,205.0,21.3,11.8,2.2,2.17,6.98,6.7,-0.28,22.9,21.98,1.0,1.0,1.0,1.0,1.0,1.0,100.0
10,205.0,205.0,10.0,10.3,2.42,2.28,6.99,7.37,0.38,22.93,24.18,1.0,2.0,4.0,4.0,1.0,2.4,87.1
